Distances from center of each square to grid center (50.0, 30.0):
Distance at (8, 46): 45.2383
Distance at (8, 47): 45.5906
Distance at (8, 48): 45.9619
Distance at (8, 49): 46.3519
Distance at (8, 50): 46.7600
Distance at (8, 51): 47.1858
Distance at (8, 52): 47.6288
Distance at (8, 53): 48.0885
Distance at (8, 54): 48.5644
Distance at (8, 55): 49.0561
Distance at (8, 56): 49.5631
Distance at (8, 57): 50.0849
Distance at (8, 58): 50.6211
Distance at (8, 59): 51.1713
Distance at (8, 60): 51.7349
Distance at (9, 1): 50.9166
Distance at (9, 2): 50.3438
Distance at (9, 3): 49.7845
Distance at (9, 4): 49.2392
Distance at (9, 5): 48.7083
Distance at (9, 6): 48.1923
Distance at (9, 7): 47.6917
Distance at (9, 8): 47.2070
Distance at (9, 9): 46.7386
Distance at (9, 10): 46.2871
Distance at (9, 11): 45.8530
Distance at (9, 12): 45.4368
Distance at (9, 13): 45.0389
Distance at (9, 14): 44.6598
Distance at (9, 15): 44.3001
Distance at (9, 16): 43.9602
Distance at (9, 17): 43.6406
Distance at (9, 18): 43.3417
Distance at (9, 19): 43.0639
Distance at (9, 20): 42.8077
Distance at (9, 21): 42.5735
Distance at (9, 22): 42.3615
Distance at (9, 23): 42.1723
Distance at (9, 24): 42.0060
Distance at (9, 25): 41.8629
Distance at (9, 26): 41.7433
Distance at (9, 27): 41.6473
Distance at (9, 28): 41.5752
Distance at (9, 29): 41.5271
Distance at (9, 30): 41.5030
Distance at (9, 31): 41.5030
Distance at (9, 32): 41.5271
Distance at (9, 33): 41.5752
Distance at (9, 34): 41.6473
Distance at (9, 35): 41.7433
Distance at (9, 36): 41.8629
Distance at (9, 37): 42.0060
Distance at (9, 38): 42.1723
Distance at (9, 39): 42.3615
Distance at (9, 40): 42.5735
Distance at (9, 41): 42.8077
Distance at (9, 42): 43.0639
Distance at (9, 43): 43.3417
Distance at (9, 44): 43.6406
Distance at (9, 45): 43.9602
Distance at (9, 46): 44.3001
Distance at (9, 47): 44.6598
Distance at (9, 48): 45.0389
Distance at (9, 49): 45.4368
Distance at (9, 50): 45.8530
Distance at (9, 51): 46.2871
Distance at (9, 52): 46.7386
Distance at (9, 53): 47.2070
Distance at (9, 54): 47.6917
Distance at (9, 55): 48.1923
Distance at (9, 56): 48.7083
Distance at (9, 57): 49.2392
Distance at (9, 58): 49.7845
Distance at (9, 59): 50.3438
Distance at (9, 60): 50.9166
Distance at (10, 1): 50.1049
Distance at (10, 2): 49.5227
Distance at (10, 3): 48.9541
Distance at (10, 4): 48.3994
Distance at (10, 5): 47.8592
Distance at (10, 6): 47.3339
Distance at (10, 7): 46.8241
Distance at (10, 8): 46.3303
Distance at (10, 9): 45.8530
Distance at (10, 10): 45.3927
Distance at (10, 11): 44.9500
Distance at (10, 12): 44.5253
Distance at (10, 13): 44.1192
Distance at (10, 14): 43.7321
Distance at (10, 15): 43.3647
Distance at (10, 16): 43.0174
Distance at (10, 17): 42.6907
Distance at (10, 18): 42.3851
Distance at (10, 19): 42.1011
Distance at (10, 20): 41.8390
Distance at (10, 21): 41.5993
Distance at (10, 22): 41.3824
Distance at (10, 23): 41.1886
Distance at (10, 24): 41.0183
Distance at (10, 25): 40.8718
Distance at (10, 26): 40.7492
Distance at (10, 27): 40.6510
Distance at (10, 28): 40.5771
Distance at (10, 29): 40.5278
Distance at (10, 30): 40.5031
Distance at (10, 31): 40.5031
Distance at (10, 32): 40.5278
Distance at (10, 33): 40.5771
Distance at (10, 34): 40.6510
Distance at (10, 35): 40.7492
Distance at (10, 36): 40.8718
Distance at (10, 37): 41.0183
Distance at (10, 38): 41.1886
Distance at (10, 39): 41.3824
Distance at (10, 40): 41.5993
Distance at (10, 41): 41.8390
Distance at (10, 42): 42.1011
Distance at (10, 43): 42.3851
Distance at (10, 44): 42.6907
Distance at (10, 45): 43.0174
Distance at (10, 46): 43.3647
Distance at (10, 47): 43.7321
Distance at (10, 48): 44.1192
Distance at (10, 49): 44.5253
Distance at (10, 50): 44.9500
Distance at (10, 51): 45.3927
Distance at (10, 52): 45.8530
Distance at (10, 53): 46.3303
Distance at (10, 54): 46.8241
Distance at (10, 55): 47.3339
Distance at (10, 56): 47.8592
Distance at (10, 57): 48.3994
Distance at (10, 58): 48.9541
Distance at (10, 59): 49.5227
Distance at (10, 60): 50.1049
Distance at (11, 1): 49.3001
Distance at (11, 2): 48.7083
Distance at (11, 3): 48.1300
Distance at (11, 4): 47.5657
Distance at (11, 5): 47.0160
Distance at (11, 6): 46.4812
Distance at (11, 7): 45.9619
Distance at (11, 8): 45.4588
Distance at (11, 9): 44.9722
Distance at (11, 10): 44.5028
Distance at (11, 11): 44.0511
Distance at (11, 12): 43.6177
Distance at (11, 13): 43.2030
Distance at (11, 14): 42.8077
Distance at (11, 15): 42.4323
Distance at (11, 16): 42.0773
Distance at (11, 17): 41.7433
Distance at (11, 18): 41.4307
Distance at (11, 19): 41.1400
Distance at (11, 20): 40.8718
Distance at (11, 21): 40.6263
Distance at (11, 22): 40.4042
Distance at (11, 23): 40.2057
Distance at (11, 24): 40.0312
Distance at (11, 25): 39.8811
Distance at (11, 26): 39.7555
Distance at (11, 27): 39.6548
Distance at (11, 28): 39.5790
Distance at (11, 29): 39.5285
Distance at (11, 30): 39.5032
Distance at (11, 31): 39.5032
Distance at (11, 32): 39.5285
Distance at (11, 33): 39.5790
Distance at (11, 34): 39.6548
Distance at (11, 35): 39.7555
Distance at (11, 36): 39.8811
Distance at (11, 37): 40.0312
Distance at (11, 38): 40.2057
